G;A;L;V
weiblich;50 bis unter 55 Jahre;Bösartiges Melanom der Haut;69
weiblich;50 bis unter 55 Jahre;BN der Brustdrüse;1026
weiblich;50 bis unter 55 Jahre;BN der Genital- und Harnorgane;628
weiblich;50 bis unter 55 Jahre;BN der Cervix uteri;177
weiblich;50 bis unter 55 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;77
weiblich;50 bis unter 55 Jahre;BN des Ovars;257
weiblich;50 bis unter 55 Jahre;BN der Prostata;0
weiblich;50 bis unter 55 Jahre;BN der Niere, ausgenommen Nierenbecken;21
weiblich;50 bis unter 55 Jahre;BN der Harnblase;23
weiblich;50 bis unter 55 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;167
weiblich;50 bis unter 55 Jahre;Leukämie;69
weiblich;50 bis unter 55 Jahre;Gutartige Neubildungen;9
weiblich;50 bis unter 55 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;35
weiblich;50 bis unter 55 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;189
weiblich;50 bis unter 55 Jahre;Diabetes mellitus;87
weiblich;50 bis unter 55 Jahre;Psychische und Verhaltensstörungen;170
weiblich;50 bis unter 55 Jahre;Psychische und Verhaltensstörungen durch Alkohol;100
weiblich;50 bis unter 55 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;19
weiblich;50 bis unter 55 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;316
weiblich;50 bis unter 55 Jahre;Meningitis;4
weiblich;50 bis unter 55 Jahre;Krankheiten des Kreislaufsystems;958
weiblich;50 bis unter 55 Jahre;Hypertonie (Hochdruckkrankheit);54
weiblich;50 bis unter 55 Jahre;Ischämische Herzkrankheiten;295
weiblich;50 bis unter 55 Jahre;Akuter oder rezidivierender Myokardinfarkt;199
weiblich;50 bis unter 55 Jahre;Sonstige Formen der Herzkrankheit;132
weiblich;50 bis unter 55 Jahre;Sonstige Krankheiten des Endokards;22
weiblich;50 bis unter 55 Jahre;Zerebrovaskuläre Krankheiten;265
weiblich;50 bis unter 55 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;13
weiblich;50 bis unter 55 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;58
weiblich;50 bis unter 55 Jahre;Krankheiten des Atmungssystems;301
weiblich;50 bis unter 55 Jahre;Grippe;20
weiblich;50 bis unter 55 Jahre;Pneumonie;44
weiblich;50 bis unter 55 Jahre;Chronische Krankheiten der unteren Atemwege;198
weiblich;50 bis unter 55 Jahre;Asthma;22
weiblich;50 bis unter 55 Jahre;Krankheiten des Verdauungssystems;546
weiblich;50 bis unter 55 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;16
weiblich;50 bis unter 55 Jahre;Krankheiten der Leber;383
weiblich;50 bis unter 55 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;370
weiblich;50 bis unter 55 Jahre;Krankheiten der Haut und der Unterhaut;10
weiblich;50 bis unter 55 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;42
weiblich;50 bis unter 55 Jahre;Chronische Polyarthritis und Arthrose;9
weiblich;50 bis unter 55 Jahre;Krankheiten des Urogenitalsystems;59
weiblich;50 bis unter 55 Jahre;Krankheiten der Niere;41
weiblich;50 bis unter 55 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;50 bis unter 55 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;4
weiblich;50 bis unter 55 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;52
weiblich;50 bis unter 55 Jahre;Angeborene Fehlbildungen des Nervensystems;3
weiblich;50 bis unter 55 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;9
weiblich;50 bis unter 55 Jahre;Symptome und abnorme klinische und Laborbefunde;473
weiblich;50 bis unter 55 Jahre;Plötzlicher Kindstod;0
weiblich;50 bis unter 55 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;466
weiblich;50 bis unter 55 Jahre;Äußere Ursachen von Morbidität und Mortalität;532
weiblich;50 bis unter 55 Jahre;Unfälle einschließlich Spätfolgen;241
weiblich;50 bis unter 55 Jahre;Transportmittelunfälle;67
weiblich;50 bis unter 55 Jahre;Stürze;52
weiblich;50 bis unter 55 Jahre;Ertrinken und Untergehen;8
weiblich;50 bis unter 55 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;10
weiblich;50 bis unter 55 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);36
weiblich;50 bis unter 55 Jahre;Vorsätzliche Selbstbeschädigung;257
weiblich;50 bis unter 55 Jahre;Tätlicher Angriff;8
weiblich;50 bis unter 55 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;25
weiblich;55 bis unter 60 Jahre;Insgesamt;12535
weiblich;55 bis unter 60 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;170
weiblich;55 bis unter 60 Jahre;Tuberkulose einschließlich ihrer Folgezustände;3
weiblich;55 bis unter 60 Jahre;Meningokokkeninfektion;0
weiblich;55 bis unter 60 Jahre;Virushepatitis;16
weiblich;55 bis unter 60 Jahre;HIV-Krankheit;7
weiblich;55 bis unter 60 Jahre;Neubildungen;6458
weiblich;55 bis unter 60 Jahre;Bösartige Neubildungen (BN);6365
weiblich;55 bis unter 60 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;138
weiblich;55 bis unter 60 Jahre;BN des Ösophagus;82
weiblich;55 bis unter 60 Jahre;BN des Magens;181
weiblich;55 bis unter 60 Jahre;BN des Dickdarms;289
weiblich;55 bis unter 60 Jahre;BN des Rektums, des Anus und am Rektosigmoid;186
weiblich;55 bis unter 60 Jahre;BN der Leber, der Gallenwege und des Pankreas;639
weiblich;55 bis unter 60 Jahre;BN der Leber und der intrahepatischen Gallengänge;135
weiblich;55 bis unter 60 Jahre;BN des Pankreas;429
weiblich;55 bis unter 60 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;1439
weiblich;55 bis unter 60 Jahre;BN der Bronchien und der Lunge;1418
weiblich;55 bis unter 60 Jahre;Melanom und sonstige bösartige Neubild. der Haut;74
weiblich;55 bis unter 60 Jahre;Bösartiges Melanom der Haut;65
weiblich;55 bis unter 60 Jahre;BN der Brustdrüse;1411
weiblich;55 bis unter 60 Jahre;BN der Genital- und Harnorgane;978
weiblich;55 bis unter 60 Jahre;BN der Cervix uteri;174
weiblich;55 bis unter 60 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;159
weiblich;55 bis unter 60 Jahre;BN des Ovars;409
weiblich;55 bis unter 60 Jahre;BN der Prostata;0
weiblich;55 bis unter 60 Jahre;BN der Niere, ausgenommen Nierenbecken;67
weiblich;55 bis unter 60 Jahre;BN der Harnblase;39
weiblich;55 bis unter 60 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;250
weiblich;55 bis unter 60 Jahre;Leukämie;107
weiblich;55 bis unter 60 Jahre;Gutartige Neubildungen;21
weiblich;55 bis unter 60 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;33
weiblich;55 bis unter 60 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;325
weiblich;55 bis unter 60 Jahre;Diabetes mellitus;180
weiblich;55 bis unter 60 Jahre;Psychische und Verhaltensstörungen;246
weiblich;55 bis unter 60 Jahre;Psychische und Verhaltensstörungen durch Alkohol;155
weiblich;55 bis unter 60 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;17
weiblich;55 bis unter 60 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;482
weiblich;55 bis unter 60 Jahre;Meningitis;2
weiblich;55 bis unter 60 Jahre;Krankheiten des Kreislaufsystems;1680
weiblich;55 bis unter 60 Jahre;Hypertonie (Hochdruckkrankheit);114
weiblich;55 bis unter 60 Jahre;Ischämische Herzkrankheiten;587
weiblich;55 bis unter 60 Jahre;Akuter oder rezidivierender Myokardinfarkt;369
weiblich;55 bis unter 60 Jahre;Sonstige Formen der Herzkrankheit;240
weiblich;55 bis unter 60 Jahre;Sonstige Krankheiten des Endokards;49
weiblich;55 bis unter 60 Jahre;Zerebrovaskuläre Krankheiten;359
weiblich;55 bis unter 60 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;26
weiblich;55 bis unter 60 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;117
weiblich;55 bis unter 60 Jahre;Krankheiten des Atmungssystems;717
weiblich;55 bis unter 60 Jahre;Grippe;22
weiblich;55 bis unter 60 Jahre;Pneumonie;76
weiblich;55 bis unter 60 Jahre;Chronische Krankheiten der unteren Atemwege;520
weiblich;55 bis unter 60 Jahre;Asthma;37
weiblich;55 bis unter 60 Jahre;Krankheiten des Verdauungssystems;836
weiblich;55 bis unter 60 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;23
weiblich;55 bis unter 60 Jahre;Krankheiten der Leber;562
weiblich;55 bis unter 60 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;523
weiblich;55 bis unter 60 Jahre;Krankheiten der Haut und der Unterhaut;20
weiblich;55 bis unter 60 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;81
weiblich;55 bis unter 60 Jahre;Chronische Polyarthritis und Arthrose;13
weiblich;55 bis unter 60 Jahre;Krankheiten des Urogenitalsystems;109
weiblich;55 bis unter 60 Jahre;Krankheiten der Niere;83
weiblich;55 bis unter 60 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;55 bis unter 60 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;6
weiblich;55 bis unter 60 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;69
weiblich;55 bis unter 60 Jahre;Angeborene Fehlbildungen des Nervensystems;3
weiblich;55 bis unter 60 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;13
weiblich;55 bis unter 60 Jahre;Symptome und abnorme klinische und Laborbefunde;770
weiblich;55 bis unter 60 Jahre;Plötzlicher Kindstod;0
weiblich;55 bis unter 60 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;755
weiblich;55 bis unter 60 Jahre;Äußere Ursachen von Morbidität und Mortalität;533
weiblich;55 bis unter 60 Jahre;Unfälle einschließlich Spätfolgen;268
weiblich;55 bis unter 60 Jahre;Transportmittelunfälle;58
weiblich;55 bis unter 60 Jahre;Stürze;71
weiblich;55 bis unter 60 Jahre;Ertrinken und Untergehen;7
weiblich;55 bis unter 60 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;7
weiblich;55 bis unter 60 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);30
weiblich;55 bis unter 60 Jahre;Vorsätzliche Selbstbeschädigung;224
weiblich;55 bis unter 60 Jahre;Tätlicher Angriff;10
weiblich;55 bis unter 60 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;31
weiblich;60 bis unter 65 Jahre;Insgesamt;17314
weiblich;60 bis unter 65 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;213
weiblich;60 bis unter 65 Jahre;Tuberkulose einschließlich ihrer Folgezustände;2
weiblich;60 bis unter 65 Jahre;Meningokokkeninfektion;0
weiblich;60 bis unter 65 Jahre;Virushepatitis;17
weiblich;60 bis unter 65 Jahre;HIV-Krankheit;8
weiblich;60 bis unter 65 Jahre;Neubildungen;8550
weiblich;60 bis unter 65 Jahre;Bösartige Neubildungen (BN);8429
weiblich;60 bis unter 65 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;172
weiblich;60 bis unter 65 Jahre;BN des Ösophagus;159
weiblich;60 bis unter 65 Jahre;BN des Magens;221
weiblich;60 bis unter 65 Jahre;BN des Dickdarms;457
weiblich;60 bis unter 65 Jahre;BN des Rektums, des Anus und am Rektosigmoid;229
weiblich;60 bis unter 65 Jahre;BN der Leber, der Gallenwege und des Pankreas;1027
weiblich;60 bis unter 65 Jahre;BN der Leber und der intrahepatischen Gallengänge;209
weiblich;60 bis unter 65 Jahre;BN des Pankreas;693
weiblich;60 bis unter 65 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;2260
weiblich;60 bis unter 65 Jahre;BN der Bronchien und der Lunge;2243
weiblich;60 bis unter 65 Jahre;Melanom und sonstige bösartige Neubild. der Haut;83
weiblich;60 bis unter 65 Jahre;Bösartiges Melanom der Haut;72
weiblich;60 bis unter 65 Jahre;BN der Brustdrüse;1324
weiblich;60 bis unter 65 Jahre;BN der Genital- und Harnorgane;1210
weiblich;60 bis unter 65 Jahre;BN der Cervix uteri;181
weiblich;60 bis unter 65 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;219
weiblich;60 bis unter 65 Jahre;BN des Ovars;483
weiblich;60 bis unter 65 Jahre;BN der Prostata;0
weiblich;60 bis unter 65 Jahre;BN der Niere, ausgenommen Nierenbecken;79
weiblich;60 bis unter 65 Jahre;BN der Harnblase;84
weiblich;60 bis unter 65 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;388
weiblich;60 bis unter 65 Jahre;Leukämie;151
weiblich;60 bis unter 65 Jahre;Gutartige Neubildungen;20
weiblich;60 bis unter 65 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;60
weiblich;60 bis unter 65 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;464
weiblich;60 bis unter 65 Jahre;Diabetes mellitus;270
weiblich;60 bis unter 65 Jahre;Psychische und Verhaltensstörungen;305
weiblich;60 bis unter 65 Jahre;Psychische und Verhaltensstörungen durch Alkohol;144
weiblich;60 bis unter 65 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;9
weiblich;60 bis unter 65 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;607
weiblich;60 bis unter 65 Jahre;Meningitis;7
weiblich;60 bis unter 65 Jahre;Krankheiten des Kreislaufsystems;2827
weiblich;60 bis unter 65 Jahre;Hypertonie (Hochdruckkrankheit);234
weiblich;60 bis unter 65 Jahre;Ischämische Herzkrankheiten;1003
weiblich;60 bis unter 65 Jahre;Akuter oder rezidivierender Myokardinfarkt;620
weiblich;60 bis unter 65 Jahre;Sonstige Formen der Herzkrankheit;467
weiblich;60 bis unter 65 Jahre;Sonstige Krankheiten des Endokards;96
weiblich;60 bis unter 65 Jahre;Zerebrovaskuläre Krankheiten;585
weiblich;60 bis unter 65 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;63
weiblich;60 bis unter 65 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;174
weiblich;60 bis unter 65 Jahre;Krankheiten des Atmungssystems;1312
weiblich;60 bis unter 65 Jahre;Grippe;42
weiblich;60 bis unter 65 Jahre;Pneumonie;137
weiblich;60 bis unter 65 Jahre;Chronische Krankheiten der unteren Atemwege;996
weiblich;60 bis unter 65 Jahre;Asthma;32
weiblich;60 bis unter 65 Jahre;Krankheiten des Verdauungssystems;1079
weiblich;60 bis unter 65 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;49
weiblich;60 bis unter 65 Jahre;Krankheiten der Leber;644
weiblich;60 bis unter 65 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;588
weiblich;60 bis unter 65 Jahre;Krankheiten der Haut und der Unterhaut;27
weiblich;60 bis unter 65 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;90
weiblich;60 bis unter 65 Jahre;Chronische Polyarthritis und Arthrose;19
weiblich;60 bis unter 65 Jahre;Krankheiten des Urogenitalsystems;178
weiblich;60 bis unter 65 Jahre;Krankheiten der Niere;127
weiblich;60 bis unter 65 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;60 bis unter 65 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;6
weiblich;60 bis unter 65 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;76
weiblich;60 bis unter 65 Jahre;Angeborene Fehlbildungen des Nervensystems;1
weiblich;60 bis unter 65 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;14
weiblich;60 bis unter 65 Jahre;Symptome und abnorme klinische und Laborbefunde;932
weiblich;60 bis unter 65 Jahre;Plötzlicher Kindstod;0
weiblich;60 bis unter 65 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;900
weiblich;60 bis unter 65 Jahre;Äußere Ursachen von Morbidität und Mortalität;588
weiblich;60 bis unter 65 Jahre;Unfälle einschließlich Spätfolgen;333
weiblich;60 bis unter 65 Jahre;Transportmittelunfälle;43
weiblich;60 bis unter 65 Jahre;Stürze;128
weiblich;60 bis unter 65 Jahre;Ertrinken und Untergehen;5
weiblich;60 bis unter 65 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;10
weiblich;60 bis unter 65 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);23
weiblich;60 bis unter 65 Jahre;Vorsätzliche Selbstbeschädigung;212
weiblich;60 bis unter 65 Jahre;Tätlicher Angriff;9
weiblich;60 bis unter 65 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;34
weiblich;65 bis unter 70 Jahre;Insgesamt;23974
weiblich;65 bis unter 70 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;399
weiblich;65 bis unter 70 Jahre;Tuberkulose einschließlich ihrer Folgezustände;3
weiblich;65 bis unter 70 Jahre;Meningokokkeninfektion;1
weiblich;65 bis unter 70 Jahre;Virushepatitis;21
weiblich;65 bis unter 70 Jahre;HIV-Krankheit;2
weiblich;65 bis unter 70 Jahre;Neubildungen;11046
weiblich;65 bis unter 70 Jahre;Bösartige Neubildungen (BN);10850
weiblich;65 bis unter 70 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;200
weiblich;65 bis unter 70 Jahre;BN des Ösophagus;152
weiblich;65 bis unter 70 Jahre;BN des Magens;298
weiblich;65 bis unter 70 Jahre;BN des Dickdarms;523
weiblich;65 bis unter 70 Jahre;BN des Rektums, des Anus und am Rektosigmoid;325
weiblich;65 bis unter 70 Jahre;BN der Leber, der Gallenwege und des Pankreas;1485
weiblich;65 bis unter 70 Jahre;BN der Leber und der intrahepatischen Gallengänge;302
weiblich;65 bis unter 70 Jahre;BN des Pankreas;977
weiblich;65 bis unter 70 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;2738
weiblich;65 bis unter 70 Jahre;BN der Bronchien und der Lunge;2703
weiblich;65 bis unter 70 Jahre;Melanom und sonstige bösartige Neubild. der Haut;115
weiblich;65 bis unter 70 Jahre;Bösartiges Melanom der Haut;102
weiblich;65 bis unter 70 Jahre;BN der Brustdrüse;1692
weiblich;65 bis unter 70 Jahre;BN der Genital- und Harnorgane;1597
weiblich;65 bis unter 70 Jahre;BN der Cervix uteri;183
weiblich;65 bis unter 70 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;299
weiblich;65 bis unter 70 Jahre;BN des Ovars;618
weiblich;65 bis unter 70 Jahre;BN der Prostata;0
weiblich;65 bis unter 70 Jahre;BN der Niere, ausgenommen Nierenbecken;161
weiblich;65 bis unter 70 Jahre;BN der Harnblase;112
weiblich;65 bis unter 70 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;662
weiblich;65 bis unter 70 Jahre;Leukämie;248
weiblich;65 bis unter 70 Jahre;Gutartige Neubildungen;39
weiblich;65 bis unter 70 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;90
weiblich;65 bis unter 70 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;691
weiblich;65 bis unter 70 Jahre;Diabetes mellitus;447
weiblich;65 bis unter 70 Jahre;Psychische und Verhaltensstörungen;432
weiblich;65 bis unter 70 Jahre;Psychische und Verhaltensstörungen durch Alkohol;128
weiblich;65 bis unter 70 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;9
weiblich;65 bis unter 70 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;884
weiblich;65 bis unter 70 Jahre;Meningitis;3
weiblich;65 bis unter 70 Jahre;Krankheiten des Kreislaufsystems;4541
weiblich;65 bis unter 70 Jahre;Hypertonie (Hochdruckkrankheit);417
weiblich;65 bis unter 70 Jahre;Ischämische Herzkrankheiten;1599
weiblich;65 bis unter 70 Jahre;Akuter oder rezidivierender Myokardinfarkt;905
weiblich;65 bis unter 70 Jahre;Sonstige Formen der Herzkrankheit;751
weiblich;65 bis unter 70 Jahre;Sonstige Krankheiten des Endokards;163
weiblich;65 bis unter 70 Jahre;Zerebrovaskuläre Krankheiten;946
weiblich;65 bis unter 70 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;97
weiblich;65 bis unter 70 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;303
weiblich;65 bis unter 70 Jahre;Krankheiten des Atmungssystems;2121
weiblich;65 bis unter 70 Jahre;Grippe;49
weiblich;65 bis unter 70 Jahre;Pneumonie;231
weiblich;65 bis unter 70 Jahre;Chronische Krankheiten der unteren Atemwege;1587
weiblich;65 bis unter 70 Jahre;Asthma;34
weiblich;65 bis unter 70 Jahre;Krankheiten des Verdauungssystems;1349
weiblich;65 bis unter 70 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;69
weiblich;65 bis unter 70 Jahre;Krankheiten der Leber;717
weiblich;65 bis unter 70 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;653
weiblich;65 bis unter 70 Jahre;Krankheiten der Haut und der Unterhaut;49
weiblich;65 bis unter 70 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;149
weiblich;65 bis unter 70 Jahre;Chronische Polyarthritis und Arthrose;33
weiblich;65 bis unter 70 Jahre;Krankheiten des Urogenitalsystems;357
weiblich;65 bis unter 70 Jahre;Krankheiten der Niere;245
weiblich;65 bis unter 70 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;65 bis unter 70 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;5
weiblich;65 bis unter 70 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;63
weiblich;65 bis unter 70 Jahre;Angeborene Fehlbildungen des Nervensystems;3
weiblich;65 bis unter 70 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;6
weiblich;65 bis unter 70 Jahre;Symptome und abnorme klinische und Laborbefunde;1158
weiblich;65 bis unter 70 Jahre;Plötzlicher Kindstod;0
weiblich;65 bis unter 70 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;1107
weiblich;65 bis unter 70 Jahre;Äußere Ursachen von Morbidität und Mortalität;640
weiblich;65 bis unter 70 Jahre;Unfälle einschließlich Spätfolgen;430
weiblich;65 bis unter 70 Jahre;Transportmittelunfälle;51
weiblich;65 bis unter 70 Jahre;Stürze;175
weiblich;65 bis unter 70 Jahre;Ertrinken und Untergehen;8
weiblich;65 bis unter 70 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;18
weiblich;65 bis unter 70 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);16
weiblich;65 bis unter 70 Jahre;Vorsätzliche Selbstbeschädigung;163
weiblich;65 bis unter 70 Jahre;Tätlicher Angriff;10
weiblich;65 bis unter 70 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;35
weiblich;70 bis unter 75 Jahre;Insgesamt;29120
weiblich;70 bis unter 75 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;499
weiblich;70 bis unter 75 Jahre;Tuberkulose einschließlich ihrer Folgezustände;10
weiblich;70 bis unter 75 Jahre;Meningokokkeninfektion;0
weiblich;70 bis unter 75 Jahre;Virushepatitis;30
weiblich;70 bis unter 75 Jahre;HIV-Krankheit;4
weiblich;70 bis unter 75 Jahre;Neubildungen;11927
weiblich;70 bis unter 75 Jahre;Bösartige Neubildungen (BN);11673
weiblich;70 bis unter 75 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;176
weiblich;70 bis unter 75 Jahre;BN des Ösophagus;175
weiblich;70 bis unter 75 Jahre;BN des Magens;301
weiblich;70 bis unter 75 Jahre;BN des Dickdarms;715
weiblich;70 bis unter 75 Jahre;BN des Rektums, des Anus und am Rektosigmoid;321
weiblich;70 bis unter 75 Jahre;BN der Leber, der Gallenwege und des Pankreas;1704
weiblich;70 bis unter 75 Jahre;BN der Leber und der intrahepatischen Gallengänge;325
weiblich;70 bis unter 75 Jahre;BN des Pankreas;1161
weiblich;70 bis unter 75 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;2614
weiblich;70 bis unter 75 Jahre;BN der Bronchien und der Lunge;2565
weiblich;70 bis unter 75 Jahre;Melanom und sonstige bösartige Neubild. der Haut;129
weiblich;70 bis unter 75 Jahre;Bösartiges Melanom der Haut;109
weiblich;70 bis unter 75 Jahre;BN der Brustdrüse;1775
weiblich;70 bis unter 75 Jahre;BN der Genital- und Harnorgane;1600
weiblich;70 bis unter 75 Jahre;BN der Cervix uteri;143
weiblich;70 bis unter 75 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;305
weiblich;70 bis unter 75 Jahre;BN des Ovars;583
weiblich;70 bis unter 75 Jahre;BN der Prostata;0
weiblich;70 bis unter 75 Jahre;BN der Niere, ausgenommen Nierenbecken;142
weiblich;70 bis unter 75 Jahre;BN der Harnblase;132
weiblich;70 bis unter 75 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;897
weiblich;70 bis unter 75 Jahre;Leukämie;348
weiblich;70 bis unter 75 Jahre;Gutartige Neubildungen;32
weiblich;70 bis unter 75 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;131
weiblich;70 bis unter 75 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;958
weiblich;70 bis unter 75 Jahre;Diabetes mellitus;645
weiblich;70 bis unter 75 Jahre;Psychische und Verhaltensstörungen;853
weiblich;70 bis unter 75 Jahre;Psychische und Verhaltensstörungen durch Alkohol;124
weiblich;70 bis unter 75 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;5
weiblich;70 bis unter 75 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;1139
weiblich;70 bis unter 75 Jahre;Meningitis;6
weiblich;70 bis unter 75 Jahre;Krankheiten des Kreislaufsystems;6742
weiblich;70 bis unter 75 Jahre;Hypertonie (Hochdruckkrankheit);608
weiblich;70 bis unter 75 Jahre;Ischämische Herzkrankheiten;2288
weiblich;70 bis unter 75 Jahre;Akuter oder rezidivierender Myokardinfarkt;1136
weiblich;70 bis unter 75 Jahre;Sonstige Formen der Herzkrankheit;1281
weiblich;70 bis unter 75 Jahre;Sonstige Krankheiten des Endokards;268
weiblich;70 bis unter 75 Jahre;Zerebrovaskuläre Krankheiten;1375
weiblich;70 bis unter 75 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;223
weiblich;70 bis unter 75 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;363
weiblich;70 bis unter 75 Jahre;Krankheiten des Atmungssystems;2639
weiblich;70 bis unter 75 Jahre;Grippe;49
weiblich;70 bis unter 75 Jahre;Pneumonie;330
weiblich;70 bis unter 75 Jahre;Chronische Krankheiten der unteren Atemwege;1938
weiblich;70 bis unter 75 Jahre;Asthma;49
weiblich;70 bis unter 75 Jahre;Krankheiten des Verdauungssystems;1364
weiblich;70 bis unter 75 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;60
weiblich;70 bis unter 75 Jahre;Krankheiten der Leber;580
weiblich;70 bis unter 75 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;506
weiblich;70 bis unter 75 Jahre;Krankheiten der Haut und der Unterhaut;73
